pl_name,hostname,sy_starnum,sy_planetnum,disc_year,disc_facility,T_orbit,orb_semimajor_AU,R_pl_earths,M_pl_earths,orb_eccentricity,avg_temp,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_grav_surface,rastr,right_asc,decstr,declination,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,star_id,Fe,O,S,Ca,Mg,C,Si,Ti,planet_letter,T_orbit_right,orb_eccentricity_right,orb_semimajor_AU_right,M_pl_earths_right,R_pl_earths_right,inclination,atm_main_gases,atm_percentages,atm_trace_gases,pl_insolation
11 Com b,11 Com,2,1,2007,Xinglong Station,323.21,1.178,12.2,4914.89849,0.238,,G8 III,4874.0,13.76,2.09,-0.26,[Fe/H],2.45,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,4.72307,2.282,4.44038,*  11 Com,-0.24,-0.16,0.21,-0.24,-0.21,-0.41,-0.1,-0.28,b,323.21,0.24,1.18,15.46,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,11845.658313053735
11 UMi b,11 UMi,1,1,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,12.3,4684.8142,0.08,,K4 III,4213.0,29.79,2.78,-0.02,[Fe/H],1.93,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,5.013,1.939,4.56216,*  11 UMi,0.02,-0.09,1.04,-0.16,0.04,-0.37,0.25,0.12,b,516.22,0.08,1.53,14.74,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,13287.707532023513
14 And b,14 And,1,1,2008,Okayama Astrophysical Observatory,186.76,0.775,13.1,1131.1513,0.0,,K0 III,4888.0,11.55,1.78,-0.21,[Fe/H],2.55,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,5.23133,2.331,4.91781,*  14 And,-0.2,0.0,0.34,-0.17,0.1,-0.2,0.01,-0.07,b,185.84,0.0,0.83,4.8,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,13516.536407333993
14 Her b,14 Her,1,2,2002,W. M. Keck Observatory,1765.0389,2.774,12.6,2559.47216,0.373,,K0 V,5338.0,0.93,0.91,0.405,[Fe/H],4.45,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,6.61935,4.714,6.383,*  14 Her,0.44,0.24,0.35,0.35,0.48,0.47,0.39,0.46,b,1724.0,0.37,2.82,4.89,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,2185.251442090655
16 Cyg B b,16 Cyg B,3,1,1996,Multiple Observatories,798.5,1.66,13.5,565.7374,0.68,,G3 V,5750.0,1.13,1.08,0.06,[Fe/H],4.36,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,6.215,4.651,6.06428,*  16 Cyg B,0.09,-0.02,0.03,0.08,0.14,0.07,0.06,0.12,b,798.5,0.68,1.66,1.78,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,3280.28942263572
18 Del b,18 Del,2,1,2008,Okayama Astrophysical Observatory,982.85,2.476,12.5,2926.24614,0.024,,G6 III,4980.0,8.8,2.1,-0.06,[Fe/H],2.87,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,5.51048,3.366,5.27476,*  18 Del,0.05,0.03,0.3,0.16,0.13,-0.17,0.14,0.18,b,993.3,0.08,2.6,10.3,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,6720.846940500012
24 Boo b,24 Boo,1,1,2018,Okayama Astrophysical Observatory,30.33,0.194,13.9,280.64248,0.032,,G3 IV,4816.0,12.19,1.05,-0.78,[Fe/H],2.28,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,5.59,3.159,5.3339,* g Boo,-0.73,-0.45,0.0,-0.34,-0.23,-0.71,-0.33,-0.3,b,30.35,0.04,0.19,0.91,0.0,0.0,O|N|H2O|S|CO2,12.325738554466614|49.30295421786646|26.204520166796023|1.4325216972015218|10.234265363669401,CH4|NH4|NH3|SO2,27322.813736098236
24 Sex b,24 Sex,1,2,2010,Lick Observatory,452.8,1.333,13.4,632.46,0.09,,K0 IV,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374,*  24 Sex,0.07,-0.28,0.22,0.06,0.1,-0.08,0.05,0.07,b,452.8,0.09,1.33,1.99,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,6984.377668772669
24 Sex c,24 Sex,1,2,2010,Lick Observatory,883.0,2.08,13.9,273.32,0.29,,K0 IV,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374,*  24 Sex,0.07,-0.28,0.22,0.06,0.1,-0.08,0.05,0.07,c,883.0,0.29,2.08,0.86,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,5552.8726417377675
30 Ari B b,30 Ari B,4,1,2009,Thueringer Landessternwarte Tautenburg,335.10001,0.99,12.3,4392.4106,0.29,,F6 V,6331.0,1.41,1.93,0.19,[Fe/H],4.43,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,7.09209,5.822,6.96085,*  30 Ari B,0.16,0.0,0.05,0.28,0.0,0.0,0.29,0.62,b,345.4,0.18,1.01,6.6,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,5361.8638453932535
