HIP,new_RA,new_DE,new_Distance,new_Vmag,new_BTmag,new_VTmag,new_Hpmag
32349,170.0182455,41.33898359,2.750247105,-1.348742512,,,-0.996342512
30438,97.77465561,-52.67483627,92.66584064,-0.693980108,-0.490980108,-0.681980108,-0.627580108
24436,78.90384053,-7.661254939,234.2561316,0.155017091,0.287017091,0.258017091,0.168017091
24608,88.72611954,60.54312348,13.64586495,0.19562188,,,0.35412188
7588,21.00078005,-57.92530892,40.71763399,0.277127922,0.285127922,0.349127922,0.250427922
27989,89.46267793,8.660996878,129.3002933,0.42062024,2.81962024,0.73962024,0.47032024
69673,217.848831,25.5565513,14.54316611,0.506581984,2.185581984,0.842581984,0.667981984
68702,211.6722511,-59.16506351,160.02238,0.596361628,0.421361628,0.595361628,0.522961628
21421,71.31322338,26.38811892,18.55847042,0.711466054,2.778466054,1.001466054,0.843866054
60718,189.0341599,-61.45311673,96.89299968,0.738066771,0.414066771,0.601066771,0.641966771
113368,321.3652737,-11.05330277,6.388535565,0.768059226,1.005059226,0.846059226,0.778859226
91262,265.9747001,42.51852313,10.998613,0.788459519,,,0.845259519
37279,160.8551324,42.32359204,4.297510018,0.84738311,,,0.90808311
65474,202.2983469,-9.098793031,82.11481721,1.026209554,0.923209554,1.077209554,0.935309554
80763,247.1461912,-25.37406478,186.3535576,1.073657239,3.507657239,1.300657239,0.989357239
62434,193.7093562,-58.08019271,106.922211,1.226048318,1.078048318,1.257048318,1.129748318
102098,310.1488489,45.35940517,992.367604,1.25496976,1.47596976,1.34796976,1.30156976
37826,132.6760329,42.04330895,11.09771296,1.314197853,2.609197853,1.479197853,1.448897853
33579,105.675065,-28.32701234,129.4244285,1.455560677,1.305560677,1.455560677,1.371560677
49669,158.3605975,17.52655201,24.90912415,1.462686915,1.462686915,1.501686915,1.425886915
45238,151.0106568,-68.05259498,31.69166552,1.512025866,1.588025866,1.517025866,1.504525866
61084,194.34693,-50.46677069,26.01684648,1.512557438,3.575557438,1.754557438,1.552457438
97649,277.0833737,26.79244088,7.471205367,1.570881434,2.058881434,1.765881434,1.638181434
25336,82.24149338,8.573735827,72.55164972,1.58199904,1.40999904,1.57099904,1.49129904
109268,324.9700063,-43.79753178,29.11605828,1.5872431,1.5322431,1.6142431,1.5555431
25428,83.67967349,33.48550071,39.53427158,1.61499319,1.56999319,1.63499319,1.58009319
85927,262.9792689,-36.19230902,215.8147343,1.622995363,1.448995363,1.609995363,1.527395363
36850,124.2325769,41.59696601,16.45520995,1.667506311,,,1.668606311
26311,84.23703128,-0.848116151,409.212077,1.677773581,1.540773581,1.679773581,1.611273581
42913,141.8530335,-51.5874019,22.18299396,1.718717345,1.838717345,1.737717345,1.739817345
26727,85.50269509,-1.366271189,248.3163391,1.719890962,1.545890962,1.676890962,1.661090962
39953,123.18621,-47.10132503,255.1982533,1.728547116,1.605547116,1.771547116,1.681947116
15863,51.01372773,51.01456709,181.8074911,1.793816862,2.421816862,1.869816862,1.901016862
90185,273.4377842,-30.21512847,44.64797758,1.804741688,1.847741688,1.824741688,1.813341688
34444,107.34243,-26.22459778,546.903536,1.819910597,2.693910597,1.902910597,1.952710597
41037,127.0887531,-59.32300718,191.1777794,1.830435573,3.466435573,2.050435573,1.970035573
3419,6.963524682,-13.98229385,26.88753886,1.847703012,3.169703012,1.966703012,2.013903012
86228,263.1321504,-40.63722373,83.38102214,1.859431989,2.373431989,1.903431989,1.926331989
